,ZipCode,Lat,Long
691,16633.0,40.16,-78.23
692,16634.0,40.2,-78.17
693,16635.0,40.42,-78.42
694,16636.0,40.6,-78.5
695,16637.0,40.32,-78.45
696,16638.0,40.34,-78.18
697,16639.0,40.66,-78.48
698,16640.0,40.7,-78.47
699,16641.0,40.48,-78.55
700,16644.0,40.7,-78.44
701,16645.0,40.79,-78.49
702,16646.0,40.66,-78.7
703,16647.0,40.39,-78.11
704,16648.0,40.43,-78.39
705,16650.0,40.13,-78.26
706,16651.0,40.82,-78.35
707,16652.0,40.49,-78.01
708,16655.0,40.24,-78.54
709,16656.0,40.77,-78.55
710,16657.0,40.33,-78.18
711,16659.0,40.17,-78.37
712,16660.0,40.46,-78.05
713,16661.0,40.82,-78.44
714,16662.0,40.31,-78.32
715,16663.0,40.8,-78.35
716,16664.0,40.16,-78.37
717,16665.0,40.39,-78.43
718,16666.0,40.85,-78.26
719,16667.0,40.18,-78.53
720,16667.0,40.18,-78.53
721,16668.0,40.63,-78.64
722,16669.0,40.57,-78.04
723,16670.0,40.25,-78.51
724,16671.0,40.8,-78.39
725,16672.0,40.17,-78.24
726,16673.0,40.33,-78.39
727,16674.0,40.17,-78.09
728,16675.0,40.66,-78.68
729,16677.0,40.79,-78.21
730,16678.0,40.21,-78.24
731,16679.0,40.15,-78.2
732,16680.0,40.76,-78.4
733,16681.0,40.8,-78.43
734,16682.0,40.32,-78.5
735,16683.0,40.62,-78.14
736,16684.0,40.63,-78.29
737,16685.0,40.26,-78.1
738,16686.0,40.67,-78.24
739,16689.0,40.12,-78.06
740,16691.0,40.09,-78.18
741,16692.0,40.74,-78.68
742,16693.0,40.46,-78.2
743,16694.0,40.16,-78.13
744,16695.0,40.22,-78.36
745,16701.0,41.96,-78.64
746,16720.0,41.63,-78.08
747,16724.0,41.75,-78.37
748,16725.0,41.89,-78.68
749,16726.0,41.82,-78.58
750,16727.0,41.97,-78.55
751,16728.0,41.57,-78.91
752,16729.0,41.96,-78.5
753,16730.0,41.83,-78.43
754,16731.0,41.95,-78.38
755,16732.0,41.85,-78.56
756,16733.0,41.7,-78.58
757,16734.0,41.62,-78.83
758,16735.0,41.66,-78.8
759,16738.0,41.87,-78.66
760,16740.0,41.72,-78.64
761,16743.0,41.81,-78.27
762,16744.0,41.9,-78.5
763,16745.0,41.92,-78.45
764,16746.0,41.77,-78.16
765,16748.0,41.96,-78.19
766,16749.0,41.8,-78.44
767,16750.0,41.88,-78.32
768,16801.0,40.79,-77.85
769,16802.0,40.8,-77.85
770,16820.0,40.86,-77.39
771,16821.0,40.97,-78.21
772,16822.0,41.07,-77.58
773,16823.0,40.91,-77.76
774,16825.0,40.98,-78.32
775,16826.0,41.04,-77.7
776,16827.0,40.77,-77.79
777,16828.0,40.84,-77.68
778,16829.0,41.08,-77.87
779,16830.0,41.02,-78.43
780,16832.0,40.85,-77.49
781,16833.0,40.97,-78.51
782,16834.0,41.0,-78.11
783,16835.0,40.91,-77.92
784,16836.0,41.14,-78.24
785,16837.0,40.93,-78.47
786,16838.0,40.96,-78.61
787,16839.0,41.01,-78.11
788,16840.0,40.94,-78.21
789,16841.0,41.01,-77.65
790,16843.0,41.0,-78.46
791,16844.0,40.91,-77.93
792,16845.0,41.11,-78.12
793,16847.0,40.99,-78.16
794,16848.0,41.01,-77.51
795,16849.0,40.97,-78.13
796,16850.0,41.07,-78.26
797,16851.0,40.78,-77.9
798,16852.0,40.94,-77.49
799,16853.0,40.94,-77.79
800,16854.0,40.89,-77.47
801,16855.0,40.98,-78.35
802,16856.0,40.93,-77.74
803,16858.0,41.01,-78.22
804,16859.0,41.02,-78.04
805,16860.0,40.96,-78.18
806,16861.0,40.88,-78.48
807,16863.0,40.9,-78.5
808,16864.0,41.08,-77.65
809,16865.0,40.72,-77.98
810,16866.0,40.89,-78.21
811,16868.0,40.73,-77.87
812,16870.0,40.79,-78.05
813,16871.0,41.2,-78.02
814,16872.0,40.94,-77.49
815,16873.0,41.07,-78.35
816,16874.0,41.02,-77.95
817,16875.0,40.86,-77.57
818,16876.0,40.96,-78.29
819,16877.0,40.7,-78.11
820,16878.0,40.94,-78.36
821,16879.0,40.97,-78.15
822,16881.0,40.99,-78.38
823,16882.0,40.92,-77.3
824,16901.0,41.74,-77.3
825,16910.0,41.7,-76.82
826,16911.0,41.66,-77.14
827,16912.0,41.68,-77.06
828,16914.0,41.83,-76.8
829,16915.0,41.77,-78.01
830,16917.0,41.74,-77.07
831,16918.0,41.93,-77.49
832,16920.0,41.98,-77.31
833,16921.0,41.78,-77.54
834,16922.0,41.73,-77.64
835,16923.0,41.98,-77.9
836,16925.0,41.95,-76.79
837,16926.0,41.71,-76.77
838,16927.0,41.92,-77.67
839,16928.0,41.95,-77.43
840,16929.0,41.99,-77.12
841,16930.0,41.55,-77.1
842,16932.0,41.78,-76.96
843,16933.0,41.8,-77.07
844,16935.0,41.89,-77.3
845,16936.0,41.98,-76.95
846,16937.0,41.9,-77.75
847,16938.0,41.65,-77.27
848,16939.0,41.66,-77.04
849,16940.0,41.97,-77.23
850,16942.0,41.98,-77.38
851,16943.0,41.84,-77.54
852,16945.0,41.8,-76.85
853,16946.0,41.9,-77.13
854,16947.0,41.78,-76.78
855,16948.0,41.9,-77.75
856,16950.0,41.91,-77.54
857,17001.0,40.24,-76.92
858,17002.0,40.53,-77.81
859,17003.0,40.33,-76.5
860,17004.0,40.6,-77.72
861,17005.0,40.6,-76.8
862,17006.0,40.33,-77.51
863,17007.0,40.15,-77.13
864,17008.0,40.23,-77.02
865,17009.0,40.63,-77.56
866,17010.0,40.27,-76.58
867,17013.0,40.2,-77.2
868,17014.0,40.65,-77.1
869,17016.0,40.26,-76.4
